q, (a, b, c)
280.5, (671.3048375139666,2.5621137216156598,181.3404974959984,0.8887746630993331)
281.5, (644.5713984357427,2.3884151082198324,147.5654205434503,0.8869865387763779)
282.5, (658.6720012910109,2.397268639260675,159.17787177464194,0.8867679433730241)
283.5, (631.1271626490079,2.2519530778415136,129.71780002897796,0.8865078755711887)
284.5, (652.4092022378641,2.1426635980676236,118.64701672482107,0.887034116716843)
285.5, (665.1002515741808,2.02910611605437,116.12082431109627,0.8874054719736381)
286.5, (698.9743991454475,1.8273535636494485,68.87992158325703,0.8856820883354248)
287.5, (714.8026002631755,1.8926418055028869,94.97069128326565,0.8863784224890804)
288.5, (744.70709144084,1.6408308638286604,30.74480424810892,0.8876058325309866)
289.5, (787.40484963459,1.5717374617725761,23.664290114908656,0.887280297911833)
290.5, (816.8078192048306,1.5130669516589623,1.8994616179860127,0.886072977964808)
291.5, (904.9091513336917,1.3520271901583825,-58.677369596476886,0.8872687383424905)
292.5, (901.0676243860482,1.3321435388840608,-51.72026243450479,0.8890112289039475)
293.5, (1002.6163799532397,1.2641156224140901,-115.7052750318288,0.8861148497340594)
294.5, (1059.4092930740326,1.2137272313117307,-139.22921171849268,1.1109281963339872)
295.5, (1135.3459841841739,1.1409285464134349,-188.08190496951744,2.8874062312422932)
296.5, (-2709.612323286058,0.7043355776387695,3663.6009424138306,1.6578046273615052)
297.5, (-2975.3962695710843,0.6810675725370897,3970.148203623125,-1.34137424201627)
298.5, (1451.2406873890923,0.930122445559799,-400.8006846494608,0.10099713036938021)
299.5, (1438.9417911970413,0.959692755953613,-366.9737574564187,-0.10790052764885695)
300.5, (1575.4705262864404,0.8983836152685718,-452.86504539686035,0.1002160464420068)
301.5, (-3810.9517462582535,0.6419106463248236,4984.738717679636,-0.34103698838051216)
302.5, (1810.4596870011608,0.8431394387206795,-600.9712280740371,0.8977501661373443)
303.5, (-3743.2653837167522,0.6639117455580872,5029.463289169426,-0.34522500399928646)
304.5, (2251.196910040699,0.7404978275348817,-929.1995720454977,0.0932001446870545)
305.5, (2444.5903548345673,0.6953313311886542,-1087.360202465406,-0.08836807806943443)
